Facility Name,Location,Full Address,Pin Code,Booking Platform,Number of Courts,Booking Amount,Washroom Available,Parking Available,Water Available,Racquet Rental,Shuttle Rental,Stringing Services,Comments
Sydney Olympic Park Sports Halls,"Sydney Olympic Park, NSW","Grand Boulevard, Sydney Olympic Park NSW 2127",2127,Online (Sydney Olympic Park Portal),12,$37.00/hr,Yes,Yes (Paid on-site / P3 car park),Yes,Yes,Retail purchase available at reception,No (Pro shop nearby in SOP),Multi-purpose sports hall. Pulastic synthetic flooring. Shared hall facility.
Five Dock Leisure Centre (FDLC),"Five Dock, NSW","Corner Queens Rd and William St, Five Dock NSW 2046",2046,Online (FDLC Website),8,"$29.50/hr (Off-peak Mon-Fri 6am-4pm), $39.50/hr (Peak Mon-Fri 4-10pm, Sat-Sun)",Yes,Yes (Free center parking),Yes,No (Available for retail purchase at front desk),No (Retail purchase at front desk),No,Multi-purpose sports stadium. Quarter-court layout markings on main indoor courts.
Concord Oval Recreation Centre,"Concord, NSW","Corner Loftus & Gipps Streets, Concord NSW 2137",2137,Online (City of Canada Bay / FDLC Portal),8,"$29.50/hr (Off-peak), $39.50/hr (Peak)",Yes,Yes (On-site precinct parking),Yes,No (Retail purchase at front desk),No (Retail purchase at front desk),No,Multi-purpose venue. Badminton courts set up on Full Courts 3 and 4.
UNSW Fitness & Aquatic Centre (FAC),"Kensington, NSW","Gate 2 High St, Kensington NSW 2033",2033,Online (UNSW FAC Portal) / Phone / In-person,6,$28.00/hr,Yes,Yes (University paid parking nearby),Yes,Yes,Sale available at front desk,No,University recreation facility. Shared basketball / badminton stadium floor.
Ryde Community Sports Centre (The Y),"Ryde, NSW","ELS Hall Park, 109 Kent Rd, North Ryde NSW 2113",2113,Online (YMCA NSW Portal) / Phone,6,"$37.00/hr (Casual), $42.00 - $52.00/hr (Peak/Corporate)",Yes,Yes (ELS Hall Park free parking lot),Yes,Yes,Sale available at desk,No,"Multi-purpose sports stadium shared with futsal, basketball, and netball."
The Badminton Club Wetherill Park,"Wetherill Park, NSW","196 Newton Rd, Wetherill Park NSW 2164",2164,Online (The Badminton Club Website),10,"$29.00/hr (Off-peak), $36.00/hr (Peak)",Yes,Yes (On-site warehouse parking),Yes,No,Vending machine available on-site,No,Dedicated 24/7 automated badminton venue with keycode PIN door entry.
BadmintonWorx Botany,"Botany, NSW","1 High St, Botany NSW 2019",2019,Online (BadmintonWorx Website / App),14,$30.00 - $42.00/hr (Varies by peak/off-peak),Yes,Yes (On-site parking spaces),Yes,Yes,Pro Shop sales available,Yes (Full Pro-Shop service on site),Dedicated badminton facility. BWF-standard mat courts with specialized LED lighting.
NBC South Granville (National Badminton Centre),"South Granville, NSW","1/62 Ferndell St, South Granville NSW 2142",2142,Online (NBC Portal),16,$28.00 - $38.00/hr (Varies by peak/off-peak),Yes,Yes (On-site facility parking),Yes,Yes,Pro Shop sales available,Yes (On-site Pro Shop and restringing),"Dedicated badminton facility. Hosts regular open socials, coaching, and local tournaments."
NBC Silverwater (National Badminton Centre),"Silverwater, NSW","2/172 Silverwater Rd, Silverwater NSW 2128",2128,Online (NBC Portal),12,$30.00 - $40.00/hr,Yes,Yes,Yes,Yes,Pro Shop sales available,Yes,Dedicated badminton centre featuring professional flooring mats.
Alpha Badminton Centre (Rookwood / Lidcombe),"Lidcombe, NSW","46 Industrial Dr, Silverwater NSW 2128",2128,Online (Alpha Badminton Website),10,$26.00 - $36.00/hr,Yes,Yes,Yes,Yes,Pro Shop sales available,Yes,Dedicated badminton facility with synthetic court mats.
Willoughby Leisure Centre,"Willoughby, NSW","2 Small St, Willoughby NSW 2068",2068,Online / Phone (Willoughby Council),4,$30.00 - $40.00/hr,Yes,Yes (Free center car park),Yes,Yes,Front desk sales,No,Multi-purpose community sports hall; courts marked on indoor wooden stadium floor.
Hurstville Aquatic Leisure Centre / Stadium,"Hurstville, NSW","King Georges Rd & Forest Rd, Hurstville NSW 2220",2220,Online / Phone (BlueFit Hurstville),6,$28.00 - $38.00/hr,Yes,Yes,Yes,No,Front desk sales,No,"Multi-purpose sports stadium shared with basketball, netball, and futsal."
PCYC Auburn,"Lidcombe, NSW","Wyatt Park, Church St, Lidcombe NSW 2141",2141,Online (PCYC Portal) / Phone,4,$25.00 - $35.00/hr,Yes,Yes (On-site park parking),Yes,Yes,Desk sales available,No,Multi-purpose community hall managed by PCYC. Subject to youth program timetables.
The Y Epping (Epping YMCA),"Epping, NSW","15 Ward St, Epping NSW 2121",2121,Online (YMCA NSW) / Phone,4,$28.00 - $38.00/hr,Yes,Yes (Street and local lot),Yes,Yes,Desk sales available,No,Multi-purpose indoor sports hall; popular venue for evening social club drop-ins.
Oran Park Leisure Centre,"Oran Park, NSW","74 Central Ave, Oran Park NSW 2570",2570,Online / Phone (Camden Council),4,"$29.50/hr (Peak community), $6.40/hr (Casual per person)",Yes,Yes,Yes,Yes ($2.40 per racquet),Yes ($2.40 per shuttle purchase),No,Regional leisure centre. Shared multi-purpose stadium floor.
